_mean1,_mean2,_mean3,_mean4,label
0.005412566,0.003858322,0.003295423,0.006448071,1
0.005617034,0.003987415,0.003598866,0.005139831,1
0.005376953,0.003832291,0.003281789,0.0062148,1
0.005197895,0.003693855,0.003133988,0.006655632,1
0.005185547,0.003656328,0.003011586,0.005965721,1
0.00554453,0.003895563,0.003443752,0.005841807,1
0.006834056,0.003835992,0.00329348,0.006473528,1
0.006861397,0.005216813,0.004727884,0.008308121,1
0.006884076,0.005315411,0.004805604,0.008507047,1
0.005298465,0.003738524,0.003115708,0.006686293,1
0.005299638,0.003724526,0.00317517,0.006139794,1
0.0050655,0.003505435,0.002830048,0.006404585,1
0.005092065,0.00358009,0.002945673,0.007076281,1
0.004861093,0.003323412,0.002645668,0.007270478,1
0.005208249,0.003582893,0.002982557,0.005964106,1
0.005066147,0.003455935,0.002818516,0.005985937,1
0.00521241,0.003629517,0.003067499,0.005782831,1
0.005270734,0.003650838,0.003141791,0.006053117,1
0.005245314,0.003685233,0.003203247,0.005459861,1
0.005354431,0.003742115,0.0032226,0.006254192,1
0.005340128,0.003816101,0.003287852,0.007788585,1
0.005597428,0.003995662,0.003493749,0.006506431,1
0.00572286,0.00406095,0.003628309,0.006087926,1
0.007080335,0.003714303,0.003114336,0.00600559,1
0.007080537,0.003616234,0.00300491,0.00721511,1
0.007003457,0.003532935,0.002883723,0.005996843,1
0.0066829,0.003503234,0.002860443,0.006724099,1
0.006696852,0.003380555,0.002676342,0.006759492,1
0.005300352,0.003711432,0.003152141,0.007819883,1
0.00527403,0.003731146,0.003107494,0.007765798,1
0.006971885,0.003630882,0.002965841,0.006854288,1
0.00682384,0.003609909,0.002977505,0.007066816,1
0.005189546,0.00366254,0.003055438,0.007045103,1
0.00520674,0.003696618,0.003056997,0.007444754,1
0.005354223,0.003839201,0.003237683,0.007859225,1
0.00524874,0.003720742,0.003120056,0.006916132,1
0.004916543,0.00342088,0.002640295,0.008455685,1
0.005182244,0.003615998,0.002964026,0.006801643,1
0.006782609,0.003585853,0.00292827,0.007068082,1
0.006918175,0.003553915,0.002853013,0.006982977,1
0.006742593,0.003539304,0.002895497,0.006662306,1
0.00674989,0.003483563,0.002828709,0.006486807,1
0.006747064,0.005259156,0.00460635,0.009330458,1
0.004848202,0.003341833,0.002597828,0.007592266,1
0.006859567,0.005332544,0.004727708,0.009470838,1
0.006768723,0.005253856,0.004584318,0.009663441,1
0.006827008,0.005238011,0.004571281,0.009627059,1
0.005122869,0.003599364,0.002961279,0.006868948,1
0.00633971,0.004845646,0.004123836,0.010223733,1
0.006840232,0.003688536,0.003023536,0.006932088,1
0.005164471,0.003656644,0.003020034,0.007379263,1
0.005131251,0.003601077,0.002948119,0.007202742,1
0.006650048,0.005072352,0.004518856,0.009281723,1
0.006750579,0.005127258,0.004707172,0.008662128,1
0.006652192,0.005074001,0.004521365,0.009275128,1
0.006487088,0.004950662,0.004229134,0.009803271,1
0.006976403,0.003594607,0.00301285,0.006674014,1
0.006738671,0.005140141,0.004490526,0.009410738,1
0.006894643,0.005353961,0.004892075,0.009082874,1
0.006785331,0.005241156,0.004611364,0.009128571,1
0.006720759,0.005225254,0.004631257,0.009664307,1
0.006496979,0.004976527,0.004227382,0.010238116,1
0.006454584,0.005054842,0.004411323,0.01000891,1
0.006862666,0.005241376,0.004753327,0.008842825,1
0.006650431,0.005080645,0.004402228,0.010117316,1
0.005145222,0.003558411,0.00287113,0.007399757,1
0.005040298,0.003494683,0.0028297,0.006834017,1
0.004939674,0.00342111,0.002710494,0.007317796,1
0.006931951,0.005540372,0.004867485,0.010467802,1
0.00684283,0.005418429,0.004833548,0.010845469,1
0.005051497,0.00365187,0.0029144,0.008578036,1
0.004941092,0.003469021,0.00274276,0.007966771,1
0.006742482,0.005327825,0.004788236,0.010163594,1
0.006601952,0.00517507,0.004564771,0.010249475,1
0.004980789,0.003575972,0.002816089,0.008371547,1
0.005195043,0.003711392,0.003230431,0.006893219,1
0.00722531,0.005457904,0.005003557,0.008652806,1
0.005500499,0.004078808,0.003750084,0.007431741,1
0.006147142,0.004705725,0.004724289,0.007152762,1
0.005518424,0.004028383,0.003796285,0.005585622,1
0.005482807,0.003988988,0.003892456,0.005395792,1
0.00563228,0.004143326,0.003997166,0.006091215,1
0.00517248,0.00358917,0.003082551,0.005131925,1
0.005320596,0.003771348,0.003409772,0.005274135,1
0.005108909,0.003572163,0.002967008,0.006246864,1
0.006824509,0.005388266,0.004943255,0.009269631,1
0.006697248,0.005186858,0.004663272,0.008819711,1
0.00733465,0.005613296,0.00525737,0.00803495,1
0.005296506,0.003745801,0.003150823,0.006980897,1
0.005446032,0.003779424,0.003157758,0.006675373,1
0.006742925,0.005323655,0.005233596,0.008952483,1
0.006585125,0.005155107,0.004704929,0.009327943,1
0.006577615,0.005143902,0.004702612,0.009669323,1
0.006463743,0.005028379,0.004426411,0.01015916,1
0.006690399,0.005177218,0.004583699,0.009977051,1
0.006976349,0.005329848,0.004771667,0.009951725,1
0.007251864,0.005544835,0.005084118,0.008969331,1
0.005392735,0.003949051,0.003620869,0.006953619,1
0.005704883,0.004113261,0.00380224,0.006992961,1
0.006642213,0.00528447,0.004774185,0.009355615,1
0.002697885,0.00186339,0.001497483,0.003202397,1
0.006458141,0.004941643,0.004229314,0.009793723,1
0.006532721,0.004966313,0.004428274,0.010066781,1
0.006203775,0.004693012,0.003932765,0.0103945,1
0.006214905,0.004764411,0.003946047,0.009502191,1
0.006321526,0.004900344,0.004125358,0.010332626,1
0.006351715,0.00492091,0.004134743,0.010395194,1
0.006383024,0.004949808,0.004267149,0.010120299,1
0.006228192,0.004924831,0.004153593,0.010195629,1
0.006262366,0.004829488,0.00404041,0.010911185,1
0.006676891,0.00532276,0.00479921,0.009873688,1
0.006408523,0.005057603,0.004326186,0.010159675,1
0.006254148,0.004881767,0.004064818,0.01060798,1
0.002762363,0.001806715,0.001421017,0.003197613,1
0.006654542,0.005100375,0.004422562,0.009966837,1
0.006310606,0.004896066,0.004105529,0.010897319,1
0.006805005,0.005259749,0.004675877,0.009650811,1
0.005168232,0.003618943,0.002965036,0.007060709,1
0.006638752,0.005232131,0.004646934,0.009288571,1
0.006383302,0.004939324,0.004224821,0.009133718,1
0.006286777,0.004757292,0.004064739,0.00962653,1
0.002626028,0.001793525,0.00140156,0.003329199,1
0.006678541,0.005293783,0.004645821,0.010441863,1
0.004795656,0.00328371,0.002678463,0.00674981,1
0.004895584,0.003431864,0.002797099,0.007240926,1
0.002442958,0.001684836,0.001312102,0.003207275,1
0.002525039,0.001765039,0.001512441,0.002921262,1
0.006598652,0.005141086,0.004510424,0.010202767,1
0.006848405,0.005398902,0.004802551,0.010514638,1
0.005113623,0.003659936,0.003160853,0.006824434,1
0.005096587,0.003647366,0.003133585,0.007043341,1
0.005126211,0.003532699,0.002851015,0.007112824,1
0.005661698,0.003937941,0.003422917,0.007419262,1
0.005473296,0.003864675,0.00343813,0.007532795,1
0.006577179,0.005095791,0.004280522,0.0110021,1
0.006327512,0.00483951,0.004032882,0.010616094,1
0.006594733,0.005059059,0.00439094,0.010312766,1
0.00648881,0.004995632,0.00429442,0.010018857,1
0.006651093,0.005158173,0.004572924,0.009911601,1
0.005175965,0.003684333,0.003197302,0.006863279,1
0.005481055,0.00378943,0.003195438,0.007668813,1
0.005271329,0.003718771,0.003098206,0.007029618,1
0.005990099,0.004572969,0.003630656,0.011038827,1
0.006213799,0.004739577,0.00385848,0.01145818,1
0.006400025,0.004999078,0.004191269,0.01171136,1
0.006400498,0.004964691,0.004171175,0.011493936,1
0.006350113,0.004981606,0.004206778,0.010793351,1
0.006571836,0.005138718,0.004458952,0.009822002,1
0.00653104,0.005130487,0.004382192,0.010792631,1
0.005453626,0.00376447,0.003300749,0.005508039,1
0.005518219,0.003883748,0.003431842,0.007650716,1
0.005378479,0.003808843,0.003262703,0.007755991,1
0.007263832,0.00551265,0.005092978,0.008435129,1
0.006652191,0.005074,0.004521364,0.009275131,1
0.005519695,0.003938062,0.003419019,0.006403611,1
0.005227293,0.003603601,0.003031089,0.005991235,1
0.005457851,0.003793822,0.003210655,0.007688534,1
0.005197672,0.003617107,0.002996082,0.005964858,1
0.006637908,0.005179982,0.004522247,0.010379273,1
0.006968112,0.003573082,0.002899731,0.007054373,1
0.006482327,0.005011658,0.004426913,0.010134272,1
